,Table S9 GO enrichment of cluster 2,,,,,
Ontology Database ID, Ontology Name,Number of genes annotated to the ontology in input,Number of genes annotated to the ontology in background,p-value,Ontology Category,Ontology description
PO:0009011,plant structure,3,33953,8.58E-16,plant_anatomy,"A plant anatomical entity (PO:0025131) that is, or was, part of a plant, or was derived from a part of a plant."
PO:0025131,plant anatomical entity,3,33965,8.41E-16,plant_anatomy,An anatomical entity that is or was part of a plant.
PO:0009012,plant structure development stage,3,18973,2.71E-07,plant_structure_development_stage,A stage in the life of a plant structure (PO:0009011) during which the plant structure undergoes developmental processes.
PO:0025496,multi-tissue plant structure,3,23113,2.74E-09,plant_anatomy,A plant structure (PO:0009011) that has as parts two or more portions of plant tissue (PO:0009007) of at least two different types and which through specific morphogenetic processes forms a single structural unit demarcated by primarily bona-fide boundaries from other structural units of different types.
PO:0009008,plant organ,3,22513,5.51E-09,plant_anatomy,"A multi-tissue plant structure (PO:0025496) that is a functional unit, is a proper part of a whole plant (PO:0000003), and includes portions of plant tissue (PO:0009007) of at least two different types that derive from a common developmental path."
PO:0007033,whole plant development stage,3,17841,8.75E-07,plant_structure_development_stage,A plant structure development stage (PO:0009012) that has as primary participant a whole plant (PO:0000003).
PO:0000003,whole plant,3,19774,1.16E-07,plant_anatomy,A plant structure (PO:0005679) which is a whole organism.
PO:0007134,sporophyte vegetative stage,3,17081,1.89E-06,plant_structure_development_stage,A sporophyte development stage (PO:0028002) that occurs during the interval between the first division of a plant zygote (PO:0000423) and the formation of a sporangium (PO:0025094).
PO:0007631,plant embryo development stage,3,15076,1.34E-05,plant_structure_development_stage,"A sporophyte vegetative stage (PO:0007134) that occurs during the interval between the first cell division of a plant zygote (PO:0000423) and one of the following: the beginning of the seed germination stage (PO:0007057) in seed plants, formation of the first vascular leaf (PO:0009025) in pteridophytes, the beginning of development of a sporangium (PO:0025094) in bryophytes, or the beginning of the formation of a plant organ (PO:0009008) such as a root (PO:0009005), shoot axis (PO:0025029), or vascular leaf (PO:0009025) in a cultured plant embryo (PO:0000010)."
PO:0009002,plant cell,3,23987,9.71E-10,plant_anatomy,A cell which is a plant structure (PO:0009011).
PO:0025004,plant axis,3,17929,8.00E-07,plant_anatomy,An axial plant organ (PO:0009008).
PO:0025606,native plant cell,3,20721,4.14E-08,plant_anatomy,A plant cell (PO:0009002) that is either part of a multicellular whole plant (PO:0000003) 'in vivo' or a unicellular organism 'in natura' (i.e. part of a natural environment).
PO:0028002,sporophyte development stage,3,17093,1.87E-06,plant_structure_development_stage,A whole plant development stage (PO:0007033) that has as primary participant a whole plant (PO:0000003) during the interval between fertilization (or apogamy) and death.
PO:0006001,phyllome,3,20973,3.14E-08,plant_anatomy,A lateral plant organ (PO:0009008) produced by a shoot apical meristem (PO:0020148).
PO:0009026,sporophyll,3,14957,1.51E-05,plant_anatomy,A leaf-like organ on which one or more sporangia are borne.
PO:0025029,shoot axis,3,16477,3.45E-06,plant_anatomy,A plant axis (PO:0025004) that is part of a shoot system (PO:0009006).
PO:0025280,microgametophyte,3,13121,8.37E-05,plant_anatomy,A whole plant (PO:0000003) in the gametophyte development stage (PO:0028003) that produces plant sperm cells (PO:0000084).
PO:0025281,pollen,3,12878,1.05E-04,plant_anatomy,A microgametophyte (PO:0025280) that develops from a microspore (PO:0020048) is located in a pollen sac (PO:0025277).
PO:0025338,collective plant organ structure development stage,3,17134,1.79E-06,plant_structure_development_stage,A plant structure development stage (PO:0009012) that has as primary participant a collective plant structure (PO:0025497).
PO:0025395,floral organ,3,16427,3.62E-06,plant_anatomy,A plant organ (PO:0009008) that is part of a flower (PO:0009046).
PO:0000084,plant sperm cell,1,5406,9.18E-03,plant_anatomy,A gamete (PO:0025006) produced by an antheridium (PO:0025125) or a microgametophyte (PO:0025280).
PO:0000230,inflorescence meristem,3,13008,9.29E-05,plant_anatomy,A meristem that gives rise to an inflorescence.
PO:0000293,guard cell,3,19036,2.54E-07,plant_anatomy,A shoot epidermal cell (PO:0025165) that is one of a pair of cells flanking the stomatal pore (PO:0008032).
PO:0001007,pollen development stage,1,4870,1.46E-02,plant_structure_development_stage,A microgametophyte development stage (PO:0025602) during which the pollen (PO:0025281) develops.
PO:0001017,M germinated pollen stage,1,4589,1.87E-02,plant_structure_development_stage,"The final stage in the life cycle of the male gametophyte. Upon rehydration, mature pollen grain forms a tubular outgrowth, the pollen tube, which carries the male gametes."
PO:0001078,plant embryo cotyledonary stage,3,13892,4.11E-05,plant_structure_development_stage,"A plant embryo development stage (PO:0007631) that occurs during the interval between the beginning of rapid elongation of the plant embryo axis (PO:0019018) and plant embryo cotyledons (PO:0025470), and the onset of a plant embryo true leaf formation stage (PO:0001095), when present, or a mature plant embryo stage (PO:0001081)."
PO:0001185,plant embryo globular stage,3,13735,4.76E-05,plant_structure_development_stage,"A plant embryo development stage (PO:0007631) that occurs during the interval between when a plant embryo proper (PO:0000001) increases in diameter through cell division, but retains radial symmetry (with the concomitant formation of a protoderm (PO:0006210)), and the onset of a plant embryo bilateral stage (PO:0004507)."
PO:0004013,plant epidermal cell,3,19203,2.13E-07,plant_anatomy,A native plant cell (PO:0025606) that is part of a portion of epidermis (PO:0005679).
PO:0004507,plant embryo bilateral stage,3,13793,4.51E-05,plant_structure_development_stage,A plant embryo development stage (PO:0007631) that occurs during the interval between the transition from radial to bilateral symmetry in a plant embryo proper (PO:0000001) and the onset of either the plant embryo cotyledonary stage (PO:0001078) or the plant embryo coleoptilar stage (PO:0001094).
PO:0007604,corolla development stage,3,16503,3.36E-06,plant_structure_development_stage,A collective phyllome structure development stage (PO:0025578) that has as a primary participant a corolla (PO:0009059).
PO:0007611,petal differentiation and expansion stage,3,16503,3.36E-06,plant_structure_development_stage,Stage of corolla development defined by differentiation and expansion of petal.
PO:0007615,flower development stage,3,16212,4.47E-06,plant_structure_development_stage,A reproductive shoot system development stage (PO:0025530) that occurs in an individual flower (PO:000904) during the interval between the onset of a flower meristem transition stage (PO:0025588) and the end of a flowering stage (PO:0007616).
PO:0007616,flowering stage,3,16208,4.49E-06,plant_structure_development_stage,A flower development stage (PO:0007615) that begins when pollen (PO:0025281) is released by anther dehiscence (GO:0009901) and/or the stigma (PO:0009073) is receptive and ends with the process of pollination (GO:0009856) and/or floral organ senescence (GO:0080187).
PO:0009005,root,3,15415,9.71E-06,plant_anatomy,A plant axis (PO:0025004) that lacks shoot axis nodes (PO:0005004) and usually grows indeterminately.
PO:0009006,shoot system,3,17479,1.26E-06,plant_anatomy,A collective plant organ structure (PO:0025007) that produces shoot-borne portions of meristem tissue (PO:0009013) and the plant structures (PO:0009011) that arise from them.
PO:0009007,portion of plant tissue,3,14718,1.89E-05,plant_anatomy,A plant structure (PO:0009011) that consists predominantly of similarly specialized plant cells (PO:0009002) of one or more types.
PO:0009009,plant embryo,3,15925,5.92E-06,plant_anatomy,A whole plant (PO:0000003) that participates in the plant embryo stage (PO:0007631).
PO:0009010,seed,3,14596,2.12E-05,plant_anatomy,A multi-tissue plant structure (PO:0025496) that develops from a plant ovule (PO:0020003) and has as parts a plant embryo (PO:0009009) enclosed in a seed coat (PO:0009088).
