,Table S8. GO enrichment of cluster 1,,,,,
Ontology Database ID, Ontology Name,Number of genes annotated to the ontology in input,Number of genes annotated to the ontology in background,p-value,Ontology Category,Ontology description
GO:0005575,cellular_component,56,43766,6.67E-15,cellular_component,"A location, relative to cellular compartments and structures, occupied by a macromolecular machine when it carries out a molecular function. There are two ways in which the gene ontology describes locations of gene products: (1) relative to cellular structures (e.g., cytoplasmic side of plasma membrane) or compartments (e.g., mitochondrion), and (2) the stable macromolecular complexes of which they are parts (e.g., the ribosome)."
GO:0031461,cullin-RING ubiquitin ligase complex,1,288,3.01E-02,cellular_component,Any ubiquitin ligase complex in which the catalytic core consists of a member of the cullin family and a RING domain protein; the core is associated with one or more additional proteins that confer substrate specificity.
GO:0080008,Cul4-RING E3 ubiquitin ligase complex,1,138,9.15E-04,cellular_component,A ubiquitin ligase complex in which a cullin from the Cul4 family and a RING domain protein form the catalytic core; substrate specificity is conferred by an adaptor protein.
GO:1990234,transferase complex,2,979,4.30E-02,cellular_component,"A protein complex capable of catalyzing the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor)."
GO:0005634,nucleus,31,12751,2.96E-19,cellular_component,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
GO:0043226,organelle,49,24436,9.92E-25,cellular_component,"Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."
GO:0043227,membrane-bounded organelle,48,23309,5.07E-25,cellular_component,"Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
GO:0043229,intracellular organelle,49,24375,8.12E-25,cellular_component,"Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."
GO:0140535,intracellular protein-containing complex,2,1007,4.80E-02,cellular_component,A protein-containing complex located intracellularly.
GO:0043231,intracellular membrane-bounded organelle,48,23230,3.85E-25,cellular_component,"Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
PO:0009011,plant structure,1,33953,2.25E-08,plant_anatomy,"A plant anatomical entity (PO:0025131) that is, or was, part of a plant, or was derived from a part of a plant."
GO:1902494,catalytic complex,4,2010,6.82E-03,cellular_component,A protein complex which is capable of catalytic activity.
PO:0009012,plant structure development stage,1,18973,2.42E-04,plant_structure_development_stage,A stage in the life of a plant structure (PO:0009011) during which the plant structure undergoes developmental processes.
PO:0025496,multi-tissue plant structure,1,23113,2.67E-05,plant_anatomy,A plant structure (PO:0009011) that has as parts two or more portions of plant tissue (PO:0009007) of at least two different types and which through specific morphogenetic processes forms a single structural unit demarcated by primarily bona-fide boundaries from other structural units of different types.
GO:0032991,protein-containing complex,8,5496,5.45E-03,cellular_component,"A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."
PO:0007033,whole plant development stage,1,17841,4.26E-04,plant_structure_development_stage,A plant structure development stage (PO:0009012) that has as primary participant a whole plant (PO:0000003).
PO:0009008,plant organ,1,22513,3.73E-05,plant_anatomy,"A multi-tissue plant structure (PO:0025496) that is a functional unit, is a proper part of a whole plant (PO:0000003), and includes portions of plant tissue (PO:0009007) of at least two different types that derive from a common developmental path."
PO:0007134,sporophyte vegetative stage,1,17081,6.19E-04,plant_structure_development_stage,A sporophyte development stage (PO:0028002) that occurs during the interval between the first division of a plant zygote (PO:0000423) and the formation of a sporangium (PO:0025094).
PO:0028002,sporophyte development stage,1,17093,6.15E-04,plant_structure_development_stage,A whole plant development stage (PO:0007033) that has as primary participant a whole plant (PO:0000003) during the interval between fertilization (or apogamy) and death.
PO:0007112,1 main shoot growth stage,1,14075,2.57E-03,plant_structure_development_stage,The stage at which vegetative structures are being produced by SAM.
PO:0007631,plant embryo development stage,1,15076,1.61E-03,plant_structure_development_stage,"A sporophyte vegetative stage (PO:0007134) that occurs during the interval between the first cell division of a plant zygote (PO:0000423) and one of the following: the beginning of the seed germination stage (PO:0007057) in seed plants, formation of the first vascular leaf (PO:0009025) in pteridophytes, the beginning of development of a sporangium (PO:0025094) in bryophytes, or the beginning of the formation of a plant organ (PO:0009008) such as a root (PO:0009005), shoot axis (PO:0025029), or vascular leaf (PO:0009025) in a cultured plant embryo (PO:0000010)."
PO:0006001,phyllome,1,20973,8.58E-05,plant_anatomy,A lateral plant organ (PO:0009008) produced by a shoot apical meristem (PO:0020148).
PO:0007133,leaf production stage,1,14071,2.57E-03,plant_structure_development_stage,The stage at which the leaves produced by SAM are visible above the ground in a seedling or mature plant.
PO:0025004,plant axis,1,17929,4.08E-04,plant_anatomy,An axial plant organ (PO:0009008).
PO:0025034,leaf,1,19154,2.21E-04,plant_anatomy,A phyllome (PO:0006001) that is not associated with a reproductive structure.
PO:0009025,vascular leaf,1,19123,2.24E-04,plant_anatomy,A leaf (PO:0025034) in a vascular plant.
PO:0025001,cardinal organ part,1,15614,1.25E-03,plant_anatomy,A cardinal part of multi-tissue plant structure (PO:0025498) that is a proper part of a plant organ (PO:0009008) and includes portions of plant tissue (PO:0009007) of at least two different types.
PO:0025395,floral organ,1,16427,8.49E-04,plant_anatomy,A plant organ (PO:0009008) that is part of a flower (PO:0009046).
PO:0025498,cardinal part of multi-tissue plant structure,1,15616,1.25E-03,plant_anatomy,A plant structure (PO:0009011) that is a proper part of a multi-tissue plant structure (PO:0025496) and includes portions of plant tissues (PO:0009007) of at least two different types.
PO:0025007,collective plant organ structure,1,18257,3.47E-04,plant_anatomy,"A collective plant structure (PO:0025497) that is a proper part of a whole plant (PO:0000003), and is composed of two or more adjacent plant organs (PO:0009008) and the associated portions of plant tissue (PO:0009007)."
